name,hq,data_filings,median_wage,naics,relevant_title,score
"ACESTACK, LLC.","Hamilton, NJ",1,,5613,Data Scientist - Generative Ai,22.5
ACG Management Solutions LLC,"Chicago, IL",1,120000,523210,Head Of Data Science,29.3
ACG Tech Systems Inc,"Plano, TX",1,84094,541511,Technical Analyst,22.5
"Achieva IT, Inc.","Alpharetta, GA",1,128398,541511,Data Scientist,31.2
Achieve Technology Consulting,"Austin, TX",1,,541511,Business Intelligence Analyst,22.5
Acme International Inc.,"Peachtree Corners, GA",1,74000,424490,Sr. Market Research Analyst/Business Development Specialist,22.5
Acme Smoked Fish Corp.,"Brooklyn, NY",1,105257,31171,Data Scientist,26.0
"Acmetel USA, LLC","Oakbrook Terrace, IL",1,65042,51711,Marketing Analyst,22.5
"ACORN HEALTH OF FLORIDA, LLC","Coral Gables, FL",1,87256,621330,Senior Business Intelligence Analyst,22.5
Acosta Inc.,"Jacksonville, FL",1,135000,541613,Senior Data Engineer,32.7
Acquia Inc.,"Boston, MA",1,165501,511210,"Principal Operations Engineer, Big Data",39.7
ACQUIFIN LLC.,"North Brunswick, NJ",1,117790,541511,Senior Business Intelligence Developer,28.8
Acquire Consulting Group Ltd.,"Westbury, NY",1,,541512,Sr. Etl Developer,22.5
ACRE NY RENTALS LLC,"Long Island City, NY",1,,531210,Business Intelligence Analyst,22.5
ACROBIOSYSTEMS INC.,"Newark, DE",1,86400,541714,"Marketing Intelligence Analyst, Biotechnology",22.5
"ACRONOTICS, INC.","Short Hills, NJ",1,200000,541511,"Vp, Ai Technology",47.5
"Across Borders Management Consulting Group, LLC","Lake Mary, FL",1,,541511,It Business Data Analyst/Tester,22.5
"ACS Infrastructure Development, Inc.","Coral Gables, FL",1,390000,237310,"Senior Vice President, Data Centers",47.5
"ACT House, Inc.","Tallahassee, FL",1,65000,541611,Entrepreneurial Housing Business Analyst,22.5
"ACT, Inc.","Iowa City, IA",1,83000,611710,"Software Engineer Ii, Data Integration",22.5
"Active Media Services, Inc.","Pearl River, NY",1,81000,54183,Senior Research Analyst,22.5
"Actual Reality Technologies, LLC","Maumee, OH",1,42000,541511,Data Scientist,22.5
"Acuity Brands Technology, Inc.","Conyers, GA",1,203320,335122,Network And Data Infrastructure Consulting Director,47.5
"Acuity, Inc.","Conyers, GA",1,82784,335122,Data Architect,22.5
Acunor Infotech LLC,"Princeton, NJ",1,86000,541511,Data Scientist,22.5
"Acurian, Inc.","Wilmington, NC",1,163966,5417,Principal Business Analytics Architect,39.3
"Ad Hawk Solutions, Inc.","Pittsburgh, PA",1,105000,541611,Senior Director Of Data Analytics And Information Technology,25.9
"Adah Enterprises, Inc.","Birmingham, AL",1,80000,5416,Consultant Data Analyst,22.5
Adaiam Inc,"Houston, TX",1,105019,541511,Computer Systems Analyst,25.9
ADAMS INTERNATIONAL LLC,"Fairfield, NJ",1,75733,423830,Business Operations Analyst,22.5
Adaptis LLC,"Houston, TX",1,98301,541511,Bi Developer,24.4
ADAPTRA LLC,"Irving, TX",1,,541511,Business Analyst,22.5
"ADB Safegate Americas, LLC","Gahanna, OH",1,130000,335139,Sap Functional Analyst,31.6
ADComp Systems Inc.,"Lewisville, TX",1,,541512,Management Analyst,22.5
"Addenso Labs, Inc.","Dunwoody, GA",1,125000,5417,Data Architect,30.5
Addon Technologies Inc,"Novi, MI",1,,541511,Computer Systems Analyst,22.5
"AddonTechnologies, Inc","Novi, MI",1,,541511,Computer Systems Analyst,22.5
Adebayo Adeleke LLC,"Arlington, TX",1,,541614,Management Analyst,22.5
Adeeba Associates Inc,"Tiverton, RI",1,,445131,Database Administrator,22.5
"AdElement Vast, LLC","Ridgewood, NJ",1,82763,541810,Data Scientist,22.5
ADI Analytics LLC,"Katy, TX",1,63000,541611,Analyst,22.5
ADIL BUSINESS SYSTEMS INC,"Warwick, RI",1,132000,541519,Oracle Bi Dashboard Specialist,32.0
Aditya Hospitality LLC,"Cumming, GA",1,69285,721110,Strategic Analyst,22.5
ADK LLC,"Herndon, VA",1,96400,541513,Data Engineer,24.0
Adler University,"Chicago, IL",1,97000,611310,Senior Business Intelligence Analyst,24.1
ADMARU NETWORK LLC,"Fort Lee, NJ",1,,541810,Operations Research Analyst - Programmatic Strategy &,22.5
"Admissian, LLC.","Columbus, OH",1,,611699,Statistician,22.5
"Admix, Inc.","Londonderry, NH",1,84000,333310,Data Scientist,22.5
Adonis Auto Group LLC,"Grand Prairie, TX",1,90000,441120,Associate Data Scientist,22.5
"Adonis Technology, Inc.","New York, NY",1,200000,541511,Machine Learning Engineer,47.5
Adornus Manufacturing LLC,"Lancaster, SC",1,90000,3219,Management Analyst,22.5
ADP Master Tax Inc.,"Roseland, NJ",1,89378,541214,Lead Business Systems Analyst,22.5
"ADP Technology Services, Inc.  9063881","Roseland, NJ",1,179982,518210,Principal Architect - Data,43.0
"ADPMN, Inc.","Alpharetta, GA",1,87180,541511,Database Administrator,22.5
Adroit Solutions and Services,"Leesburg, VA",1,64563,541519,Business Analyst,22.5
"ADTRAN, Inc.","Huntsville, AL",1,85000,334210,Crm Applications And Processes Analyst,22.5
"ADUSA Distribution, LLC","Salisbury, NC",1,106480,445110,"Analyst Iv, Network Optimization",26.2
"Advance 2000, Inc.","Amherst, NY",1,80000,541512,Data Scientist,22.5
"Advance Amusement, LLC","Norcross, GA",1,69285,713120,Business Intelligence Analyst,22.5
"Advance Community Health, Inc","Raleigh, NC",1,63835,621999,Data Analyst,22.5
